INSERT INTO PRODUZIONE (MINUTAGGIO, COD_REGISTA) VALUES
(79, 40),
(68, 171),
(69, 405),
(52, 157),
(61, 27),
(23, 748),
(80, 951),
(58, 882),
(33, 971),
(67, 243),
(78, 989),
(41, 984),
(47, 288),
(21, 72),
(24, 541),
(53, 974),
(42, 370),
(57, 42),
(67, 508),
(77, 817),
(32, 555),
(37, 527),
(28, 771),
(68, 454),
(69, 314),
(68, 133),
(26, 337),
(24, 77),
(76, 218),
(27, 46),
(77, 793),
(23, 642),
(74, 645),
(44, 664),
(47, 529),
(39, 1026),
(44, 832),
(55, 107),
(27, 886),
(21, 358),
(41, 711),
(36, 556),
(40, 301),
(26, 708),
(58, 230),
(42, 185),
(32, 915),
(40, 902),
(39, 397),
(58, 313),
(29, 343),
(27, 508),
(37, 503),
(56, 941),
(48, 472),
(45, 1003),
(76, 308),
(30, 183),
(48, 686),
(68, 574),
(73, 757),
(39, 314),
(68, 60),
(26, 236),
(25, 768),
(32, 517),
(32, 117),
(24, 54),
(41, 811),
(75, 525),
(53, 478),
(61, 709),
(22, 696),
(55, 797),
(34, 173),
(35, 25),
(34, 642),
(62, 622),
(30, 1002),
(24, 447),
(23, 807),
(64, 286),
(64, 66),
(23, 713),
(49, 696),
(44, 486),
(69, 622),
(45, 1),
(55, 662),
(22, 940),
(76, 640),
(48, 816),
(32, 418),
(55, 263),
(25, 930),
(27, 749),
(61, 311),
(22, 378),
(58, 883),
(38, 884),
(47, 349),
(21, 690),
(41, 930),
(54, 496),
(69, 1025),
(25, 412),
(80, 13),
(28, 240),
(42, 816),
(20, 357),
(23, 453),
(35, 718),
(57, 550),
(36, 70),
(66, 206),
(49, 803),
(47, 593),
(50, 699),
(50, 631),
(73, 806),
(76, 917),
(47, 138),
(25, 488),
(68, 680),
(42, 584),
(65, 1024),
(20, 835),
(32, 823),
(46, 162),
(73, 791),
(61, 968),
(42, 827),
(31, 787),
(76, 312),
(60, 955),
(63, 818),
(42, 489),
(49, 368),
(37, 287),
(23, 427),
(65, 886),
(57, 223),
(67, 230),
(46, 406),
(49, 85),
(75, 175),
(53, 413),
(42, 345),
(31, 546),
(33, 108),
(56, 773),
(51, 91),
(65, 887),
(48, 532),
(20, 41),
(75, 359),
(27, 244),
(72, 912),
(51, 167),
(51, 917),
(26, 324),
(35, 591),
(56, 616),
(46, 84),
(23, 727),
(77, 508),
(58, 499),
(46, 327),
(48, 483),
(79, 409),
(55, 184),
(59, 60),
(78, 873),
(65, 394),
(53, 674),
(29, 596),
(45, 131),
(52, 886),
(41, 429),
(30, 508),
(80, 660),
(41, 328),
(35, 113),
(73, 699),
(64, 481),
(36, 85),
(76, 253),
(35, 874),
(64, 15),
(68, 312),
(66, 289),
(54, 998),
(73, 354),
(79, 334),
(34, 40),
(70, 1028),
(41, 210),
(80, 78),
(57, 258),
(47, 410),
(29, 109),
(48, 847),
(25, 651),
(32, 356),
(34, 161),
(37, 859),
(69, 501),
(29, 639),
(73, 125),
(62, 386),
(63, 416),
(62, 620),
(24, 114),
(76, 355),
(57, 50),
(65, 1025),
(54, 209),
(74, 514),
(23, 797),
(24, 256),
(45, 518),
(23, 679),
(62, 960),
(50, 409),
(38, 720),
(32, 82),
(57, 356),
(34, 219),
(47, 172),
(29, 372),
(31, 270),
(28, 577),
(38, 791),
(78, 132),
(77, 942),
(56, 1029),
(43, 778),
(54, 204),
(56, 404),
(31, 524),
(69, 616),
(31, 664),
(57, 104),
(33, 693),
(51, 447),
(22, 972),
(75, 51),
(72, 729),
(53, 114),
(55, 982),
(26, 734),
(25, 817),
(37, 434),
(80, 653),
(39, 782),
(22, 682),
(47, 960),
(39, 453),
(80, 714),
(43, 829),
(45, 391),
(41, 617),
(35, 625),
(31, 847),
(75, 148),
(31, 248),
(42, 1014),
(36, 49),
(41, 298),
(27, 192),
(44, 484),
(70, 615),
(22, 810),
(52, 850),
(33, 781),
(63, 370),
(79, 81),
(76, 780),
(73, 586),
(24, 252),
(58, 1001),
(58, 469),
(38, 976),
(79, 371),
(75, 342),
(42, 878),
(69, 824),
(41, 853),
(64, 739),
(51, 507),
(31, 1023),
(65, 664),
(49, 511),
(59, 772),
(76, 139),
(41, 1010),
(74, 1011),
(52, 727),
(45, 575),
(48, 436),
(48, 3),
(70, 621),
(30, 770),
(47, 382),
(76, 775),
(21, 166),
(79, 815),
(53, 843),
(52, 931),
(68, 496),
(42, 363),
(50, 31),
(58, 308),
(47, 515),
(40, 271),
(56, 940),
(70, 500),
(56, 594),
(61, 498),
(76, 737),
(47, 806),
(78, 538),
(80, 13),
(60, 828),
(23, 372),
(54, 602),
(48, 132),
(42, 422),
(78, 267),
(20, 96),
(78, 565),
(22, 812),
(60, 960),
(25, 73),
(78, 461),
(53, 61),
(28, 367),
(20, 818),
(72, 553),
(80, 775),
(34, 154),
(75, 322),
(56, 317),
(31, 98),
(46, 784),
(49, 247),
(78, 736),
(53, 14),
(74, 597),
(23, 688),
(54, 828),
(61, 997),
(29, 745),
(34, 809),
(36, 91),
(64, 337),
(24, 885),
(29, 520),
(24, 11),
(46, 70),
(77, 69),
(32, 62),
(32, 79),
(24, 466),
(28, 948),
(64, 11),
(27, 65),
(61, 514),
(37, 749),
(25, 135),
(65, 701),
(75, 798),
(77, 269),
(31, 622),
(75, 588),
(63, 264),
(68, 105),
(66, 866),
(30, 980),
(75, 490),
(31, 174),
(35, 464),
(36, 697),
(61, 224),
(53, 957),
(22, 451),
(45, 218),
(43, 67),
(35, 592),
(22, 391),
(20, 488),
(36, 403),
(36, 602),
(67, 740),
(72, 890),
(28, 895),
(50, 475),
(58, 829),
(22, 397),
(49, 985),
(43, 104),
(20, 360),
(47, 618),
(71, 647),
(56, 80),
(69, 354),
(67, 284),
(25, 307),
(75, 102),
(33, 654),
(21, 109),
(33, 716),
(76, 682),
(53, 696),
(63, 261),
(34, 441),
(78, 831),
(49, 756),
(33, 155),
(80, 169),
(40, 631),
(68, 839),
(21, 536),
(32, 696),
(49, 860),
(29, 550),
(61, 282),
(44, 76),
(37, 763),
(55, 873),
(46, 776),
(21, 616),
(80, 179),
(71, 766),
(60, 1025),
(22, 10),
(77, 859),
(76, 901),
(47, 589),
(41, 955),
(45, 987),
(47, 631),
(69, 242),
(60, 333),
(52, 130),
(24, 721),
(25, 196),
(22, 882),
(66, 839),
(39, 295),
(77, 631),
(45, 836),
(78, 365),
(36, 200),
(71, 377),
(32, 170),
(65, 910),
(40, 138),
(43, 612),
(80, 181),
(31, 762),
(24, 208),
(54, 737),
(61, 977),
(63, 81),
(33, 61),
(66, 407),
(73, 765),
(22, 4),
(30, 787),
(28, 538),
(24, 560),
(59, 567),
(54, 404),
(56, 601),
(57, 585),
(58, 442),
(50, 816),
(20, 171),
(76, 873),
(26, 250),
(53, 836),
(43, 38),
(28, 589),
(69, 654),
(60, 638),
(33, 1021),
(51, 176),
(61, 386),
(59, 400),
(36, 172),
(54, 608),
(68, 1003),
(74, 122),
(51, 5),
(30, 306),
(52, 616),
(76, 222),
(71, 1011),
(34, 1006),
(77, 724),
(27, 22),
(20, 852),
(67, 868),
(62, 345),
(48, 530),
(68, 989),
(55, 739),
(33, 262),
(31, 484),
(41, 505),
(49, 663),
(80, 160),
(67, 489),
(79, 931),
(73, 295),
(36, 962),
(70, 736),
(42, 635),
(30, 992),
(69, 232),
(53, 704),
(71, 444),
(57, 468),
(35, 799),
(42, 1016),
(68, 189),
(22, 572),
(53, 252),
(51, 826),
(50, 640),
(71, 992),
(54, 891),
(49, 337),
(24, 853),
(56, 384),
(47, 422),
(52, 650),
(34, 282),
(35, 350),
(80, 199),
(48, 253),
(24, 931),
(52, 430),
(28, 923),
(26, 191),
(79, 234),
(80, 514),
(57, 2),
(56, 93),
(78, 731),
(26, 156),
(24, 846),
(27, 176),
(48, 585),
(41, 773),
(75, 1025),
(29, 702),
(44, 644),
(49, 563),
(42, 739),
(70, 739),
(79, 575),
(52, 32),
(44, 957),
(62, 287),
(38, 408),
(38, 866),
(74, 393),
(62, 545),
(20, 1003),
(50, 969),
(70, 16),
(37, 1022),
(43, 588),
(22, 891),
(51, 953),
(55, 195),
(79, 1013),
(76, 744),
(26, 999),
(25, 871),
(79, 826),
(37, 499),
(57, 162),
(22, 510),
(32, 54),
(30, 21),
(60, 192),
(26, 599),
(64, 358),
(22, 723),
(69, 686),
(42, 867),
(67, 1019),
(70, 289),
(23, 781),
(66, 398),
(55, 905),
(78, 709),
(32, 545),
(32, 265),
(46, 656),
(30, 882),
(48, 575),
(44, 956),
(30, 147),
(20, 986),
(34, 251),
(55, 738),
(43, 530),
(31, 965),
(21, 525),
(63, 592),
(38, 120),
(63, 982),
(65, 456),
(66, 544),
(70, 41),
(30, 129),
(57, 573),
(66, 270),
(65, 402),
(44, 336),
(52, 727),
(20, 147),
(63, 971),
(58, 230),
(32, 671),
(55, 62),
(24, 621),
(76, 333),
(26, 247),
(63, 238),
(30, 721),
(56, 310),
(79, 235),
(65, 649),
(59, 554),
(41, 177),
(65, 487),
(31, 819),
(66, 295),
(46, 696),
(60, 614),
(26, 854),
(42, 1022),
(44, 52),
(77, 885),
(42, 411),
(39, 999),
(33, 834),
(57, 498),
(31, 824),
(43, 286),
(50, 278),
(73, 43),
(48, 15),
(23, 1013),
(44, 127),
(23, 91),
(26, 461),
(25, 93),
(30, 959),
(42, 284),
(49, 850),
(21, 674),
(71, 989),
(54, 300),
(22, 949),
(32, 368),
(24, 309),
(67, 272),
(51, 194),
(79, 978),
(78, 24),
(41, 204),
(65, 970),
(64, 64),
(56, 218),
(33, 800),
(24, 467),
(78, 287),
(50, 373),
(29, 303),
(24, 1026),
(48, 140),
(52, 739),
(61, 408),
(72, 411),
(37, 181),
(63, 208),
(77, 395),
(39, 784),
(31, 81),
(57, 760),
(80, 61),
(72, 956),
(72, 196),
(34, 217),
(65, 507),
(44, 202),
(53, 781),
(38, 13),
(71, 553),
(20, 494),
(73, 790),
(48, 307),
(43, 586),
(25, 85),
(48, 676),
(23, 1019),
(27, 977),
(32, 1029),
(40, 801),
(61, 769),
(76, 462),
(76, 68),
(70, 444),
(44, 955),
(53, 304),
(63, 742),
(50, 512),
(49, 482),
(67, 122),
(66, 131),
(78, 559),
(29, 804),
(48, 362),
(73, 552),
(53, 891),
(49, 836),
(35, 968),
(77, 571),
(74, 183),
(65, 544),
(53, 999),
(76, 396),
(69, 788),
(23, 185),
(25, 786),
(51, 601),
(22, 546),
(40, 722),
(74, 45),
(80, 784),
(77, 697),
(80, 538),
(39, 38),
(52, 207),
(49, 133),
(31, 860),
(47, 757),
(37, 361),
(76, 188),
(45, 369),
(67, 76),
(24, 6),
(78, 383),
(22, 780),
(21, 46),
(28, 831),
(75, 124),
(74, 319),
(70, 351),
(60, 533),
(61, 514),
(27, 934),
(45, 680),
(44, 237),
(22, 206),
(79, 746),
(21, 455),
(49, 832),
(71, 315),
(51, 1003),
(70, 200),
(40, 207),
(56, 829),
(30, 210),
(39, 672),
(66, 238),
(65, 707),
(61, 193),
(80, 69),
(73, 116),
(22, 637),
(22, 264),
(59, 578),
(30, 229),
(78, 503),
(28, 404),
(75, 511),
(43, 1007),
(60, 577),
(77, 118),
(40, 1006),
(72, 840),
(53, 867),
(68, 892),
(73, 357),
(52, 250),
(55, 741),
(37, 944),
(31, 173),
(75, 666),
(63, 470),
(54, 213),
(41, 902),
(26, 170),
(20, 315),
(30, 681),
(52, 222),
(54, 848),
(56, 382),
(80, 906),
(76, 233),
(79, 390),
(52, 622),
(73, 306),
(72, 839),
(24, 230),
(70, 287),
(24, 78),
(60, 318),
(44, 160),
(79, 935),
(42, 995),
(48, 744),
(29, 41),
(77, 530),
(69, 986),
(50, 847),
(32, 746),
(54, 376),
(77, 287),
(77, 536),
(49, 803),
(72, 146),
(60, 557),
(36, 290),
(77, 509),
(63, 635),
(75, 61),
(59, 106),
(39, 643),
(35, 341),
(64, 720),
(39, 781),
(56, 451),
(61, 944),
(54, 321),
(51, 350),
(30, 22),
(68, 806),
(80, 686),
(59, 821),
(73, 321),
(73, 895),
(26, 465),
(30, 894),
(72, 331),
(38, 1016),
(67, 996),
(62, 874),
(59, 894),
(53, 479),
(75, 455),
(25, 5),
(32, 961),
(63, 259),
(42, 420),
(52, 181),
(34, 418),
(30, 703),
(73, 151),
(26, 510),
(32, 722),
(30, 289),
(79, 1016),
(27, 334),
(61, 542),
(75, 687),
(28, 227),
(59, 36),
(37, 313),
(67, 550),
(28, 984),
(80, 692),
(55, 208),
(38, 478),
(53, 917),
(73, 636),
(73, 749),
(67, 353),
(58, 772),
(59, 793),
(60, 929),
(64, 899),
(77, 165),
(51, 760),
(78, 637),
(71, 24),
(64, 139),
(29, 455),
(47, 506),
(78, 26),
(54, 458),
(20, 917),
(57, 126),
(76, 114),
(55, 560),
(38, 720),
(39, 322),
(23, 577),
(37, 796),
(29, 570),
(67, 714),
(64, 728),
(52, 762),
(21, 278),
(31, 201),
(65, 449),
(62, 862),
(65, 865),
(70, 1000),
(58, 946),
(37, 251),
(45, 714),
(26, 948),
(62, 1012),
(28, 483),
(46, 77),
(60, 778),
(74, 316),
(37, 203),
(34, 285),
(45, 477),
(48, 935),
(34, 646),
(69, 302),
(42, 498),
(57, 477),
(64, 274),
(24, 903),
(61, 606),
(51, 218),
(42, 777),
(68, 1023),
(76, 229),
(24, 851),
(46, 819),
(78, 174),
(65, 753),
(20, 3),
(35, 873),
(34, 411),
(48, 999),
(48, 166),
(53, 761),
(45, 105),
(74, 957),
(53, 523),
(40, 820),
(50, 542),
(30, 63),
(56, 587),
(36, 512),
(35, 1023),
(78, 1028),
(41, 983),
(69, 166),
(47, 808),
(76, 31),
(21, 631),
(71, 723),
(45, 942),
(20, 23),
(33, 374),
(80, 572),
(36, 75),
(62, 911),
(21, 229),
(28, 794),
(25, 857),
(50, 89),
(78, 759),
(71, 936),
(33, 52),
(37, 474),
(41, 821),
(23, 355),
(47, 999),
(46, 676),
(49, 298),
(55, 299),
(21, 645),
(66, 892),
(27, 262),
(68, 635),
(64, 578),
(74, 282),
(48, 554),
(34, 847),
(28, 317),
(63, 168),
(58, 894),
(37, 732),
(67, 58),
(20, 364),
(38, 230),
(61, 309),
(58, 319),
(43, 154),
(40, 722),
(65, 213),
(24, 886),
(31, 899),
(32, 78),
(42, 574),
(20, 953),
(74, 38),
(34, 1003),
(62, 65),
(23, 720),
(35, 797),
(37, 194),
(69, 332),
(75, 942),
(70, 818),
(25, 436),
(68, 128),
(41, 890),
(37, 84),
(61, 39),
(27, 643),
(28, 735),
(40, 353),
(43, 277),
(59, 1023),
(28, 331),
(64, 45),
(32, 47),
(25, 824),
(79, 237),
(36, 773),
(22, 904),
(32, 152),
(22, 971),
(74, 439),
(31, 889),
(47, 140),
(24, 1023),
(21, 474),
(40, 191),
(33, 670),
(47, 569),
(48, 1017),
(78, 588),
(74, 576),
(68, 850),
(52, 2),
(64, 693),
(28, 641),
(45, 347),
(79, 544),
(66, 996),
(62, 744),
(57, 710),
(77, 190),
(75, 981),
(20, 303),
(64, 779),
(75, 276),
(68, 87),
(80, 694),
(67, 169),
(21, 800),
(22, 568),
(24, 691),
(21, 191),
(79, 737),
(31, 943),
(54, 382),
(80, 8),
(28, 900),
(57, 903),
(26, 148),
(56, 537),
(52, 181),
(52, 573),
(22, 943),
(38, 556),
(75, 778),
(38, 819),
(48, 431),
(78, 985),
(20, 65),
(20, 729),
(45, 5),
(73, 582),
(78, 971),
(67, 661),
(41, 422),
(23, 200),
(58, 691),
(49, 359),
(74, 350),
(37, 663),
(21, 116),
(41, 128),
(40, 570),
(72, 650),
(64, 632),
(40, 328),
(20, 664),
(60, 862),
(20, 806),
(51, 193),
(75, 76),
(76, 552),
(61, 423),
(54, 438),
(31, 903),
(29, 504),
(64, 409),
(64, 208),
(65, 650),
(55, 177),
(77, 862),
(57, 859),
(53, 669),
(28, 415),
(41, 685),
(25, 453),
(54, 853),
(25, 335),
(39, 676),
(59, 603),
(49, 230),
(56, 724),
(62, 754),
(23, 360),
(79, 14),
(47, 871),
(52, 422),
(28, 223),
(25, 603),
(78, 781),
(50, 876),
(55, 354),
(20, 651),
(26, 426),
(34, 577),
(38, 140),
(75, 619),
(24, 788),
(77, 92),
(36, 2),
(29, 36),
(23, 189),
(54, 393),
(63, 189),
(47, 361),
(44, 21),
(24, 513),
(68, 105),
(47, 189),
(80, 46),
(52, 83),
(48, 843),
(66, 1029),
(60, 401),
(46, 1028),
(56, 478),
(65, 112),
(73, 907),
(57, 547),
(51, 524),
(41, 743),
(58, 350),
(27, 851),
(51, 905),
(42, 594),
(44, 816),
(71, 894),
(48, 401),
(48, 167),
(31, 565),
(47, 379),
(50, 426),
(55, 950),
(75, 480),
(46, 213),
(63, 712),
(45, 608),
(59, 699),
(50, 916),
(61, 454),
(70, 236),
(25, 92),
(51, 872),
(64, 285),
(80, 348),
(46, 822),
(45, 12),
(21, 281),
(39, 998),
(36, 315),
(54, 477),
(31, 213),
(77, 789),
(23, 69),
(45, 541),
(70, 588),
(38, 668),
(29, 473),
(61, 853),
(62, 622),
(56, 842),
(43, 608),
(51, 409),
(32, 166),
(38, 834),
(50, 217),
(40, 501),
(73, 658),
(45, 878),
(52, 230),
(21, 566),
(44, 359),
(31, 16),
(60, 609),
(36, 61),
(75, 647),
(25, 484),
(61, 190),
(44, 1028),
(59, 38),
(21, 953),
(70, 308),
(74, 327),
(64, 284),
(53, 915),
(56, 1030),
(37, 577),
(31, 464),
(24, 609),
(20, 133),
(36, 506),
(61, 26),
(52, 384),
(35, 185),
(22, 852),
(47, 226),
(42, 757),
(46, 342),
(26, 321),
(57, 213),
(42, 358),
(80, 8),
(55, 643),
(80, 236),
(27, 64),
(77, 154),
(29, 285),
(50, 76),
(69, 339),
(61, 900),
(64, 793),
(64, 869),
(49, 596),
(53, 209),
(49, 145),
(38, 286),
(40, 31),
(40, 730),
(29, 742),
(48, 75),
(33, 116),
(30, 456),
(70, 158),
(70, 995),
(57, 271),
(59, 733),
(34, 107),
(33, 535),
(57, 643),
(35, 746),
(66, 591),
(25, 828),
(26, 55),
(53, 248),
(30, 809),
(26, 230),
(70, 683),
(54, 55),
(77, 419),
(47, 986),
(54, 167),
(44, 942),
(22, 159),
(31, 557),
(63, 559),
(51, 806),
(40, 644),
(32, 689),
(78, 739),
(24, 596),
(52, 98),
(21, 620),
(63, 166),
(46, 343),
(36, 912),
(58, 93),
(41, 523),
(25, 423),
(41, 87),
(64, 37),
(46, 900),
(68, 743),
(68, 339),
(57, 300),
(74, 891),
(35, 847),
(29, 622),
(25, 38),
(35, 389),
(75, 236),
(48, 280),
(42, 615),
(57, 757),
(39, 22),
(58, 846),
(69, 774),
(42, 403),
(40, 888),
(38, 437),
(60, 187),
(68, 972),
(64, 71),
(33, 248),
(34, 51),
(67, 687),
(42, 282),
(25, 644),
(77, 28),
(32, 328),
(45, 494),
(68, 867),
(39, 910),
(51, 630),
(80, 213),
(70, 264),
(32, 623),
(61, 903),
(78, 929),
(66, 916),
(73, 182),
(57, 262),
(73, 164),
(56, 196),
(64, 359),
(50, 29),
(52, 431),
(57, 213),
(62, 189),
(63, 661),
(76, 943),
(59, 1013),
(47, 87),
(78, 533),
(38, 234),
(32, 880),
(55, 706),
(68, 953),
(55, 236),
(51, 35),
(55, 612),
(60, 634),
(61, 907),
(65, 123),
(77, 487),
(21, 567),
(22, 437),
(78, 834),
(51, 18),
(61, 883),
(41, 125),
(45, 447),
(52, 834),
(32, 381),
(33, 111),
(38, 12),
(69, 495),
(39, 630),
(77, 83),
(31, 540),
(47, 922),
(47, 349),
(34, 264),
(62, 921),
(31, 992),
(44, 825),
(62, 247),
(49, 287),
(77, 707),
(80, 333),
(23, 578),
(33, 433),
(80, 139),
(43, 374),
(59, 757),
(77, 83),
(66, 228),
(61, 347),
(57, 103),
(26, 773),
(80, 744),
(64, 324),
(52, 617),
(58, 89),
(35, 388),
(26, 390),
(64, 268),
(35, 534),
(35, 943),
(66, 818),
(55, 480),
(68, 113),
(43, 937),
(23, 137),
(47, 824),
(31, 562),
(64, 327),
(67, 217),
(24, 547),
(22, 156),
(42, 1025),
(47, 818),
(57, 356),
(23, 296),
(61, 565),
(60, 449),
(50, 428),
(56, 767),
(40, 723),
(47, 945),
(44, 343),
(35, 222),
(23, 392),
(71, 113),
(55, 82),
(53, 749),
(45, 1011),
(24, 785),
(24, 562),
(43, 441),
(25, 413),
(26, 890),
(20, 796),
(66, 378),
(69, 360),
(43, 868),
(34, 228),
(32, 147),
(63, 557),
(57, 641),
(20, 762),
(37, 815),
(58, 988),
(55, 257),
(42, 85),
(58, 944),
(60, 636),
(76, 727),
(72, 288),
(38, 764),
(53, 181),
(35, 135),
(70, 962),
(21, 334),
(58, 95),
(63, 839),
(63, 372),
(21, 762),
(53, 741),
(80, 171),
(39, 719),
(31, 943),
(72, 152),
(24, 224),
(37, 746),
(51, 72),
(36, 769),
(50, 793),
(54, 633),
(35, 640),
(27, 678),
(54, 641),
(54, 452),
(30, 52),
(79, 186),
(71, 319),
(35, 1003),
(52, 263),
(66, 259),
(47, 488),
(43, 323),
(58, 685),
(57, 494),
(80, 414),
(23, 218),
(36, 753),
(75, 987),
(65, 797),
(74, 240),
(21, 176),
(40, 205),
(32, 111),
(69, 595),
(76, 308),
(65, 34),
(52, 704),
(32, 985),
(55, 785),
(62, 509),
(77, 670),
(49, 352),
(73, 9),
(30, 734),
(43, 878),
(29, 752),
(77, 867),
(48, 225),
(26, 571),
(59, 706),
(55, 574),
(62, 666),
(39, 828),
(71, 179),
(42, 138),
(65, 496),
(33, 16),
(79, 797),
(69, 627),
(59, 704),
(40, 50),
(27, 617),
(43, 864),
(36, 513),
(21, 1007),
(53, 847),
(23, 635),
(61, 793),
(48, 363),
(63, 163),
(51, 486),
(74, 860),
(32, 927),
(71, 75),
(71, 534),
(30, 596),
(64, 744),
(55, 7),
(78, 299),
(26, 1003),
(45, 836),
(40, 999),
(66, 253),
(28, 528),
(43, 862),
(24, 568),
(44, 269),
(33, 562),
(78, 734),
(52, 689),
(75, 125),
(25, 540),
(79, 440),
(33, 880),
(68, 41),
(63, 216),
(61, 488),
(50, 659),
(33, 862),
(30, 614),
(21, 228),
(26, 419),
(73, 768),
(28, 850),
(34, 187),
(55, 676),
(56, 535),
(47, 273),
(71, 728),
(61, 980),
(43, 558),
(24, 903),
(69, 39),
(58, 500),
(21, 293),
(41, 968),
(77, 540),
(65, 550),
(63, 598),
(66, 875),
(70, 849),
(64, 40),
(76, 116),
(51, 398),
(24, 525),
(58, 846),
(74, 508),
(65, 622),
(20, 33),
(48, 847),
(57, 501),
(45, 83),
(22, 851),
(57, 325),
(59, 927),
(22, 976),
(75, 440),
(28, 232),
(78, 135),
(62, 908),
(63, 324),
(55, 401),
(48, 775),
(72, 760),
(51, 933),
(51, 864),
(44, 93),
(33, 383),
(47, 450),
(31, 739),
(42, 631),
(77, 416),
(22, 270),
(34, 17),
(62, 437),
(39, 594),
(72, 213),
(78, 283),
(59, 44),
(62, 321),
(23, 53),
(35, 116),
(57, 112),
(80, 641),
(80, 393),
(75, 334),
(71, 90),
(74, 767),
(41, 1016),
(55, 526),
(68, 409),
(46, 167),
(21, 156),
(68, 515),
(38, 681),
(20, 464),
(69, 23),
(23, 578),
(63, 466),
(46, 680),
(38, 272),
(55, 786),
(75, 157),
(67, 1024),
(40, 96),
(74, 765),
(59, 22),
(65, 677),
(33, 35),
(26, 36),
(43, 793),
(57, 573),
(44, 329),
(70, 47),
(56, 938),
(40, 256),
(70, 36),
(76, 889),
(61, 253),
(27, 1029),
(38, 64),
(43, 512),
(72, 270),
(78, 760),
(35, 112),
(68, 432),
(32, 357),
(37, 873),
(60, 714),
(80, 577),
(40, 1001),
(49, 508),
(51, 620),
(71, 5),
(71, 700),
(69, 30),
(38, 7),
(53, 856),
(63, 895),
(20, 477),
(53, 623),
(46, 519),
(74, 462),
(20, 634),
(56, 257),
(42, 868),
(66, 56),
(25, 505),
(61, 418),
(34, 165),
(32, 835),
(23, 697),
(51, 321),
(55, 154),
(42, 121),
(74, 538),
(51, 100),
(40, 741),
(30, 846),
(55, 907),
(27, 427),
(76, 39),
(41, 624),
(73, 520),
(67, 76),
(29, 395),
(46, 425),
(31, 508),
(79, 757),
(60, 960),
(22, 65),
(61, 790),
(76, 251),
(48, 838),
(27, 13),
(46, 647),
(52, 813),
(51, 561),
(68, 214),
(20, 778),
(72, 207),
(72, 370),
(55, 640),
(62, 961),
(44, 388),
(45, 702),
(24, 16),
(62, 744),
(50, 334),
(75, 418),
(66, 336),
(54, 169),
(56, 661),
(53, 690),
(66, 151),
(30, 960),
(59, 519),
(45, 812),
(30, 75),
(63, 110),
(39, 465),
(44, 794),
(28, 740),
(31, 889),
(23, 255),
(68, 857),
(22, 686),
(78, 217),
(77, 585),
(22, 374),
(29, 756),
(58, 957),
(43, 998),
(26, 505),
(54, 398),
(47, 255),
(78, 664),
(23, 343),
(22, 875),
(63, 196),
(62, 531),
(22, 666),
(49, 794),
(31, 420),
(31, 588),
(34, 227),
(52, 979),
(75, 427),
(50, 321),
(48, 1000),
(31, 376),
(43, 802),
(24, 26),
(39, 802),
(60, 68),
(54, 199),
(60, 174),
(53, 438),
(30, 739),
(61, 219),
(68, 964),
(80, 818),
(44, 836),
(42, 336),
(30, 112),
(30, 78),
(53, 840),
(75, 1019),
(33, 76),
(73, 826),
(71, 216),
(20, 504),
(48, 434),
(28, 639),
(40, 40),
(26, 166),
(26, 351),
(55, 430),
(76, 806),
(35, 107),
(39, 1003),
(45, 985),
(61, 7),
(42, 608),
(35, 723),
(33, 419),
(62, 174),
(38, 398),
(57, 359),
(32, 378),
(32, 910),
(29, 761),
(71, 360),
(40, 322),
(54, 920),
(43, 720),
(50, 20),
(77, 997),
(53, 636),
(27, 597),
(36, 531),
(67, 490),
(36, 154),
(26, 952),
(31, 636),
(39, 578),
(48, 377),
(35, 551),
(48, 221),
(31, 101),
(37, 745),
(75, 608),
(69, 118),
(76, 561),
(46, 501),
(79, 410),
(69, 696),
(72, 591),
(49, 454),
(50, 656),
(30, 1019),
(33, 499),
(60, 814),
(20, 889),
(53, 808),
(32, 655),
(39, 647),
(54, 690),
(23, 257),
(62, 302),
(58, 738),
(58, 348),
(64, 23),
(58, 761),
(37, 423),
(60, 792),
(34, 604),
(63, 735),
(70, 116),
(43, 769),
(45, 195),
(66, 129),
(67, 295),
(51, 198),
(75, 595),
(33, 413),
(43, 508),
(25, 559),
(52, 175),
(55, 884),
(46, 852),
(39, 452),
(37, 871),
(67, 133),
(63, 962),
(65, 921),
(33, 356),
(61, 42),
(49, 620),
(63, 49),
(36, 855),
(56, 736),
(24, 618),
(49, 229),
(59, 951),
(28, 536),
(72, 198),
(47, 989),
(54, 369),
(32, 400),
(37, 826),
(51, 768),
(45, 498),
(50, 398),
(61, 811),
(75, 184),
(62, 1023),
(57, 551),
(64, 207),
(57, 8),
(28, 427),
(72, 733),
(31, 345),
(55, 879),
(47, 510),
(53, 272),
(71, 1024),
(67, 621),
(59, 462),
(31, 262),
(51, 912),
(48, 10),
(21, 883),
(39, 265),
(46, 100),
(62, 413),
(67, 865),
(63, 521),
(60, 768),
(63, 318),
(70, 1),
(26, 913),
(30, 955),
(74, 998),
(32, 572),
(27, 531),
(20, 427),
(35, 627),
(21, 131),
(72, 931),
(77, 665),
(74, 442),
(20, 65),
(52, 847),
(79, 368),
(36, 474),
(69, 408),
(59, 406),
(65, 607),
(78, 911),
(60, 929),
(36, 559),
(66, 920),
(75, 169),
(54, 137),
(68, 254),
(38, 762),
(58, 339),
(28, 496),
(59, 15),
(64, 645),
(41, 219),
(21, 110),
(53, 240),
(52, 253),
(50, 601),
(44, 425),
(45, 903),
